Data Series Information,,,,,,,,
Name:,,,gelan0.7%Frekvencna_20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,1.25E+01,1.64E+01,1.32,2.06E-01,4.00E-01,5.05E+00,DSO
2,63.1,1.20E+01,1.49E+01,1.25,3.04E-01,4.00E-01,4.68E+00,DSO
3,39.8,1.04E+01,1.16E+01,1.11,3.92E-01,4.01E-01,3.82E+00,DSO
4,25.1,8.49E+00,9.43E+00,1.11,5.05E-01,4.00E-01,3.10E+00,DSO
5,15.8,6.64E+00,7.58E+00,1.14,6.36E-01,4.00E-01,2.46E+00,DSO
6,10,5.09E+00,6.03E+00,1.18,7.89E-01,4.00E-01,1.93E+00,DSO
7,6.31,3.84E+00,4.74E+00,1.23,9.67E-01,4.00E-01,1.49E+00,DSO
8,3.98,2.89E+00,3.68E+00,1.27,1.18E+00,4.00E-01,1.14E+00,DSO
9,2.51,2.18E+00,2.84E+00,1.3,1.42E+00,4.00E-01,8.75E-01,DSO
10,1.58,1.64E+00,2.17E+00,1.32,1.72E+00,4.00E-01,6.66E-01,DSO
11,1,1.25E+00,1.66E+00,1.33,2.07E+00,4.00E-01,5.07E-01,DSO
12,0.631,9.47E-01,1.26E+00,1.33,2.50E+00,4.00E-01,3.86E-01,DSO
13,0.398,7.28E-01,9.52E-01,1.31,3.01E+00,4.00E-01,2.93E-01,DSO
14,0.251,5.67E-01,7.23E-01,1.28,3.66E+00,4.00E-01,2.25E-01,DSO
