Data Series Information,,,,,,,,
Name:,,,Xantan 1% 20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Angular Frequency,Storage Modulus,Loss Modulus,Damping Factor,Complex Viscosity,Deflection Angle,Torque,Status
,[rad/s],[Pa],[Pa],[1],[Pa·s],[mrad],[µNm],[]
1,100,4.33E+01,1.72E+01,0.397,4.66E-01,4.00E-01,1.14E+01,DSO
2,63.1,4.09E+01,1.45E+01,0.355,6.87E-01,4.01E-01,1.06E+01,DSO
3,39.8,3.78E+01,1.27E+01,0.335,1.00E+00,4.00E-01,9.73E+00,DSO
4,25.1,3.51E+01,1.11E+01,0.315,1.46E+00,4.00E-01,8.99E+00,DSO
5,15.8,3.24E+01,9.83E+00,0.303,2.14E+00,4.00E-01,8.28E+00,DSO
6,10,2.99E+01,8.84E+00,0.296,3.12E+00,4.00E-01,7.63E+00,DSO
7,6.31,2.76E+01,8.03E+00,0.291,4.56E+00,4.00E-01,7.03E+00,DSO
8,3.98,2.54E+01,7.35E+00,0.289,6.65E+00,4.00E-01,6.48E+00,DSO
9,2.51,2.34E+01,6.75E+00,0.288,9.71E+00,4.00E-01,5.96E+00,DSO
10,1.58,2.15E+01,6.24E+00,0.29,1.42E+01,4.00E-01,5.49E+00,DSO
11,1,1.98E+01,5.78E+00,0.292,2.06E+01,4.00E-01,5.04E+00,DSO
12,0.631,1.81E+01,5.37E+00,0.296,3.00E+01,4.00E-01,4.63E+00,DSO
13,0.398,1.66E+01,5.00E+00,0.302,4.34E+01,4.00E-01,4.23E+00,DSO
14,0.251,1.50E+01,4.67E+00,0.31,6.26E+01,4.00E-01,3.85E+00,DSO
15,0.158,1.36E+01,4.35E+00,0.319,9.02E+01,4.00E-01,3.50E+00,DSO
16,0.1,1.23E+01,4.06E+00,0.33,1.30E+02,4.00E-01,3.17E+00,DSO
