Data Series Information,,,,,,,,
Name:,,,gelan0.7%_AS_20°C 1,,,,,
,,,,,,,,
Meas. Pts.,Strain,Shear Stress,Storage Modulus,Loss Modulus,Damping Factor,Deflection Angle,Torque,Status
,[%],[Pa],[Pa],[Pa],[1],[mrad],[µNm],[]
1,0.00999,7.73E-04,5.05E+00,5.86E+00,1.16,0.004,0.0189,"M- ,DSO"
2,0.0158,1.18E-03,5.07E+00,5.50E+00,1.09,0.00634,0.029,DSO
3,0.0251,1.92E-03,4.96E+00,5.79E+00,1.17,0.0101,0.0469,DSO
4,0.0398,3.06E-03,4.99E+00,5.84E+00,1.17,0.0159,0.0748,DSO
5,0.0631,4.82E-03,4.93E+00,5.83E+00,1.18,0.0253,0.118,DSO
6,0.1,7.67E-03,4.97E+00,5.85E+00,1.18,0.04,0.188,DSO
7,0.158,1.22E-02,4.97E+00,5.86E+00,1.18,0.0635,0.298,DSO
8,0.251,1.93E-02,4.96E+00,5.85E+00,1.18,0.101,0.471,DSO
9,0.398,3.05E-02,4.95E+00,5.85E+00,1.18,0.159,0.746,DSO
10,0.631,4.83E-02,4.96E+00,5.84E+00,1.18,0.253,1.18,DSO
11,1,7.66E-02,4.97E+00,5.83E+00,1.17,0.4,1.87,DSO
12,1.58,1.21E-01,4.99E+00,5.82E+00,1.17,0.635,2.97,DSO
13,2.51,1.92E-01,4.99E+00,5.82E+00,1.17,1.01,4.71,DSO
14,3.98,3.05E-01,4.99E+00,5.81E+00,1.16,1.59,7.45,DSO
15,6.31,4.81E-01,4.96E+00,5.80E+00,1.17,2.53,11.8,DSO
16,10,7.58E-01,4.91E+00,5.77E+00,1.17,4,18.5,DSO
17,15.8,1.18E+00,4.80E+00,5.72E+00,1.19,6.35,28.9,DSO
18,25.1,1.82E+00,4.58E+00,5.61E+00,1.22,10.1,44.5,DSO
19,39.8,2.74E+00,4.24E+00,5.42E+00,1.28,15.9,67,DSO
20,63.1,4.00E+00,3.71E+00,5.13E+00,1.38,25.3,97.8,DSO
21,100,5.65E+00,3.04E+00,4.77E+00,1.57,40,138,DSO
