100	0.145
68.1	0.184
46.4	0.231
31.6	0.286
21.5	0.348
14.7	0.417
10	0.491
6.81	0.568
4.64	0.648
3.16	0.726
2.15	0.8
1.47	0.868
1	0.929
0.681	0.982
0.464	1.03
0.316	1.07
0.215	1.1
0.147	1.13
0.1	1.16
0.0681	1.19
0.0464	1.21
0.0316	1.24
0.0215	1.27
0.0147	1.3
0.01	1.35

