   0.00000000       10.0000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    
   9.99999978E-03   10.0000000       0.00000000       0.00000000       2.61724975E-10   1.03611079E-07   3.09781062E-05   6.15299540E-03
   1.99999996E-02   10.0000000       4.32623026E-14   1.55245677E-11   4.12330881E-09   8.20416972E-07   1.22217971E-04   1.20534003E-02
   2.99999993E-02   10.0000000       5.92333691E-13   1.23170404E-10   2.06879509E-08   2.74051035E-06   2.71224999E-04   1.77074615E-02
   3.99999991E-02   10.0000000       3.42819740E-12   5.19657706E-10   6.48360867E-08   6.42934810E-06   4.75566543E-04   2.31213160E-02
   4.99999970E-02   10.0000000       1.31362889E-11   1.57838087E-09   1.56982097E-07   1.24283661E-05   7.32870714E-04   2.83009894E-02
   5.99999949E-02   10.0000000       3.91459573E-11   3.90355703E-09   3.22837138E-07   2.12555806E-05   1.04082539E-03   3.32523994E-02
   6.99999928E-02   10.0000000       9.82996601E-11   8.38203373E-09   5.93177901E-07   3.34061806E-05   1.39717711E-03   3.79813574E-02
   7.99999908E-02   10.0000000       2.17928744E-10   1.62328107E-08   1.00362126E-06   4.93531115E-05   1.79973000E-03   4.24935669E-02
   8.99999887E-02   10.0000000       4.39413311E-10   2.90543394E-08   1.59440469E-06   6.95476410E-05   2.24634469E-03   4.67946269E-02
   9.99999866E-02   10.0000000       8.22204194E-10   4.88696550E-08   2.41017233E-06   9.44199201E-05   2.73493701E-03   5.08900359E-02
  0.109999985       10.0000000       1.44828560E-09   7.81693998E-08   3.49976654E-06   1.24379527E-04   3.26347770E-03   5.47851883E-02
  0.119999982       10.0000000       2.42705767E-09   1.19952787E-07   4.91602486E-06   1.59816031E-04   3.82999075E-03   5.84853776E-02
  0.129999980       10.0000000       3.90061849E-09   1.77766537E-07   6.71558246E-06   2.01099494E-04   4.43255249E-03   6.19957969E-02
  0.139999986       10.0000000       6.04942629E-09   2.55741924E-07   8.95868016E-06   2.48580996E-04   5.06929075E-03   6.53215423E-02
  0.149999991       10.0000000       9.09832210E-09   3.58629876E-07   1.17089767E-05   3.02593136E-04   5.73838409E-03   6.84676021E-02
  0.159999996       10.0000000       1.33228930E-08   4.91834214E-07   1.50333663E-05   3.63450585E-04   6.43806020E-03   7.14388862E-02
  0.170000002       10.0000000       1.90561611E-08   6.61443153E-07   1.90018018E-05   4.31450520E-04   7.16659520E-03   7.42402002E-02
  0.180000007       10.0000000       2.66955773E-08   8.74259058E-07   2.36871238E-05   5.06873068E-04   7.92231318E-03   7.68762529E-02
  0.190000013       10.0000000       3.67103041E-08   1.13782630E-06   2.91648885E-05   5.89981908E-04   8.70358478E-03   7.93516710E-02
  0.200000018       10.0000000       4.96487687E-08   1.46045795E-06   3.55132106E-05   6.81024627E-04   9.50882584E-03   8.16709772E-02
  0.210000023       10.0000000       6.61464767E-08   1.85126009E-06   4.28126041E-05   7.80233182E-04   1.03364987E-02   8.38386118E-02
  0.220000029       10.0000000       8.69340511E-08   2.32015555E-06   5.11458202E-05   8.87824397E-04   1.11851078E-02   8.58589262E-02
  0.230000034       10.0000000       1.12845527E-07   2.87790499E-06   6.05977111E-05   1.00400031E-03   1.20532010E-02   8.77361745E-02
  0.240000039       10.0000000       1.44826814E-07   3.53612745E-06   7.12550755E-05   1.12894864E-03   1.29393684E-02   8.94745439E-02
  0.250000030       10.0000000       1.83944394E-07   4.30731961E-06   8.32065125E-05   1.26284338E-03   1.38422428E-02   9.10781175E-02
  0.260000020       10.0000000       2.31394154E-07   5.20487174E-06   9.65423023E-05   1.40584481E-03   1.47604952E-02   9.25509036E-02
  0.270000011       10.0000000       2.88510449E-07   6.24308586E-06   1.11354260E-04   1.55810022E-03   1.56928375E-02   9.38968286E-02
  0.280000001       10.0000000       3.56775246E-07   7.43718783E-06   1.27735606E-04   1.71974429E-03   1.66380219E-02   9.51197296E-02
  0.289999992       10.0000000       4.37827453E-07   8.80334392E-06   1.45780854E-04   1.89089938E-03   1.75948348E-02   9.62233692E-02
  0.299999982       10.0000000       5.33472416E-07   1.03586699E-05   1.65585676E-04   2.07167584E-03   1.85621027E-02   9.72114354E-02
  0.309999973       10.0000000       6.45691387E-07   1.21212443E-05   1.87246784E-04   2.26217252E-03   1.95386894E-02   9.80875269E-02
  0.319999963       10.0000000       7.76651348E-07   1.41101182E-05   2.10861821E-04   2.46247696E-03   2.05234922E-02   9.88551751E-02
  0.329999954       10.0000000       9.28714599E-07   1.63453224E-05   2.36529275E-04   2.67266622E-03   2.15154439E-02   9.95178223E-02
  0.339999944       10.0000000       1.10444864E-06   1.88478753E-05   2.64348317E-04   2.89280619E-03   2.25135107E-02  0.100078858    
  0.349999934       10.0000000       1.30663636E-06   2.16397930E-05   2.94418744E-04   3.12295347E-03   2.35166941E-02  0.100541577    
  0.359999925       10.0000000       1.53828557E-06   2.47440894E-05   3.26840876E-04   3.36315390E-03   2.45240256E-02  0.100909211    
  0.369999915       10.0000000       1.80263919E-06   2.81847861E-05   3.61715443E-04   3.61344451E-03   2.55345721E-02  0.101184927    
  0.379999906       10.0000000       2.10318558E-06   3.19869105E-05   3.99143493E-04   3.87385301E-03   2.65474282E-02  0.101371810    
  0.389999896       10.0000000       2.44366856E-06   3.61765051E-05   4.39226307E-04   4.14439803E-03   2.75617223E-02  0.101472877    
  0.399999887       10.0000000       2.82809719E-06   4.07806256E-05   4.82065283E-04   4.42508934E-03   2.85766106E-02  0.101491086    
